20428gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20429ranhon 0.555872 0.045286 0.051544 0.053985 0.120482 0.160317 0.000010 0.000010 0.000010 0.012483
20430ranhon 0.547648 0.039810 0.049067 0.078367 0.124251 0.160818 0.000010 0.000010 0.000010 0.000010
20433abehon 0.476728 0.053570 0.073130 0.088260 0.054854 0.218679 0.000010 0.000010 0.000010 0.034749
20435chlhon 0.420440 0.059306 0.084498 0.067566 0.061190 0.302706 0.000010 0.000010 0.004264 0.000010
20551puehon 0.537573 0.022560 0.017592 0.073634 0.026190 0.219134 0.009160 0.000010 0.000010 0.094136
20552puehon 0.471715 0.050946 0.023521 0.129906 0.035243 0.254829 0.000015 0.000010 0.001822 0.031993
20553puehon 0.472951 0.061056 0.027375 0.120036 0.029314 0.244913 0.000010 0.000824 0.013772 0.029749
20554puehon 0.525803 0.029527 0.024778 0.092827 0.037759 0.223645 0.007413 0.000010 0.001273 0.056963
20555puehon 0.514201 0.040148 0.027486 0.086736 0.027289 0.247951 0.001617 0.000010 0.011147 0.043416
20556puehon 0.489276 0.067467 0.023049 0.106121 0.023591 0.233703 0.005548 0.000010 0.010486 0.040749
20558puehon 0.548749 0.055554 0.024343 0.103869 0.030734 0.173555 0.005733 0.000010 0.004677 0.052777
20559puehon 0.508272 0.061589 0.032313 0.092420 0.038994 0.223718 0.006497 0.000010 0.000010 0.036176
20560unihon 0.677661 0.020214 0.012110 0.049604 0.030007 0.169736 0.013562 0.000010 0.001544 0.025553
20561unihon 0.655212 0.025387 0.018301 0.064183 0.023417 0.159450 0.013858 0.000010 0.001169 0.039013
20562unihon 0.648424 0.026982 0.018500 0.053893 0.007308 0.169675 0.024007 0.000010 0.008362 0.042839
20563unihon 0.624842 0.027075 0.017006 0.064528 0.040773 0.170765 0.014251 0.000010 0.003512 0.037240
20564unihon 0.655072 0.040622 0.013833 0.053346 0.015657 0.148912 0.016609 0.000010 0.005247 0.050692
20565unihon 0.611105 0.035420 0.026885 0.082639 0.023147 0.175277 0.020088 0.000010 0.000010 0.025419
20566unihon 0.636298 0.021465 0.016968 0.059794 0.026462 0.186570 0.015484 0.000037 0.000010 0.036912
20567unihon 0.644826 0.036179 0.015586 0.059883 0.027886 0.156393 0.013262 0.000010 0.002418 0.043557
20568unihon 0.637744 0.016145 0.021587 0.061419 0.029515 0.190634 0.012725 0.000010 0.007007 0.023213
20571unihon 0.646430 0.016126 0.018187 0.053747 0.038988 0.187309 0.009797 0.000010 0.001846 0.027560
20572unihon 0.655555 0.012524 0.014888 0.066684 0.020990 0.180873 0.018806 0.000010 0.003068 0.026603
20599nighon 0.420706 0.079710 0.056837 0.080288 0.048625 0.311959 0.000010 0.000010 0.001846 0.000010
20600nighon 0.427712 0.081363 0.052107 0.065226 0.053030 0.320522 0.000010 0.000010 0.000010 0.000010
20601nighon 0.418524 0.069009 0.050290 0.049238 0.060273 0.343708 0.000010 0.000010 0.000010 0.008928
20602nighon 0.402207 0.071658 0.064118 0.069008 0.065177 0.327793 0.000010 0.000010 0.000010 0.000010
20603nighon 0.425145 0.053251 0.052282 0.082789 0.070946 0.306651 0.000010 0.000010 0.000010 0.008905
20604nighon 0.422441 0.064444 0.053147 0.064111 0.070322 0.324901 0.000010 0.000010 0.000010 0.000605
20605nighon 0.404026 0.050885 0.060901 0.075858 0.065241 0.333418 0.000010 0.000010 0.000253 0.009398
20606nighon 0.420946 0.073428 0.053803 0.069677 0.072331 0.308016 0.000010 0.001768 0.000010 0.000010
20607nighon 0.446520 0.071683 0.052956 0.059455 0.061923 0.306795 0.000010 0.000639 0.000010 0.000010
20608nighon 0.426506 0.067730 0.061956 0.049251 0.070482 0.324035 0.000010 0.000010 0.000010 0.000010
20609nighon 0.441090 0.079295 0.053500 0.048931 0.057313 0.319824 0.000010 0.000017 0.000010 0.000010
20610nighon 0.425598 0.084499 0.051075 0.080066 0.052821 0.305875 0.000010 0.000010 0.000037 0.000010
20613ranhon 0.546520 0.049611 0.052267 0.067540 0.103662 0.178553 0.000010 0.000010 0.001819 0.000010
20615gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20617gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20625puehon 0.324996 0.047646 0.020072 0.214159 0.013480 0.176502 0.015179 0.000010 0.011308 0.176648
20633puehon 0.578324 0.027660 0.020999 0.067654 0.018655 0.228045 0.016906 0.000010 0.002413 0.039334
20635puehon 0.576601 0.008993 0.019036 0.043690 0.021404 0.223922 0.035733 0.000010 0.005184 0.065426
20638puehon 0.526800 0.057766 0.018562 0.073079 0.015757 0.221424 0.016457 0.000010 0.006714 0.063431
20641gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
