Sample node,Individual,Clade,gulf,carib,out
183,19104puegun,carib,0.014586533204996484,0.9854134667949875,0.0
184,19105niggun,carib,0.013967592318600437,0.986032407681381,0.0
185,19105niggun,carib,0.013106277276449325,0.9868937227235254,0.0
186,19106puegun,carib,0.0160352028775867,0.9839647971223981,0.0
187,19106puegun,carib,0.015801591271560125,0.9841984087284091,0.0
188,19108puegun,carib,0.015018606949047143,0.9849813930509173,0.0
189,19108puegun,carib,0.013902656970954316,0.9860973430290348,0.0
190,19124indgun,carib,0.009155590078567968,0.9908444099214191,0.0
191,19124indgun,carib,0.009021468504436263,0.9909785314955368,0.0
192,19131niggun,carib,0.014312482206605833,0.9856875177933521,0.0
193,19131niggun,carib,0.014701224097576007,0.9852987759023775,0.0
194,19150niggun,carib,0.013658332372858769,0.9863416676271197,0.0
195,19150niggun,carib,0.015283142174070006,0.9847168578259142,0.0
196,19162indgun,carib,0.008360622625771684,0.9916393773742109,0.0
197,19162indgun,carib,0.008518496650517467,0.991481503349457,0.0
198,19174affgun,carib,0.011352446463635995,0.988647553536332,0.0
199,19174affgun,carib,0.011465845513232261,0.988534154486743,0.0
200,19190indgun,carib,0.0075501790706254,0.9924498209293614,0.0
201,19190indgun,carib,0.006659659950701815,0.9933403400492979,0.0
202,19235gutgun,carib,0.013763169660612772,0.986236830339364,0.0
203,19235gutgun,carib,0.013574389016589205,0.9864256109833865,0.0
204,19294tangun,carib,0.01134356564397227,0.9886564343560243,0.0
205,19294tangun,carib,0.01210182549071682,0.9878981745092751,0.0
206,19416chlbar,carib,0.018030886550615074,0.9819691134493695,0.0
207,19416chlbar,carib,0.01690925040302567,0.9830907495969382,0.0
208,19425chlbar,carib,0.014992901655636534,0.9850070983443103,0.0
209,19425chlbar,carib,0.01601771528446835,0.9839822847155257,0.0
210,19426puebar,carib,0.017277973875479104,0.982722026124462,0.0
211,19426puebar,carib,0.015197836692371808,0.9848021633076008,0.0
212,19427puebar,carib,0.01618720168343859,0.9838127983165148,0.0
213,19427puebar,carib,0.017736257071600748,0.982263742928351,0.0
214,19428puebar,carib,0.01672467423846423,0.983275325761509,0.0
215,19428puebar,carib,0.0202102172738838,0.9797897827261183,0.0
216,19435chlbar,carib,0.01614376569918563,0.9838562343007984,0.0
217,19435chlbar,carib,0.014969989806758899,0.9850300101932202,0.0
218,19437tanbar,carib,0.013795519992714307,0.9862044800072899,0.0
219,19437tanbar,carib,0.01215597982174654,0.9878440201782306,0.0
220,19519affgun,carib,0.014473205627302518,0.9855267943726719,0.0
221,19519affgun,carib,0.015488767863959228,0.9845112321360053,0.0
222,19546abegun,carib,0.013551884365663083,0.9864481156343212,0.0
223,19546abegun,carib,0.014921673728088758,0.9850783262718895,0.0
224,19708abegun,carib,0.01823964793535787,0.9817603520646133,0.0
225,19708abegun,carib,0.01503535041792377,0.9849646495820386,0.0
226,19881unibel,carib,0.01501593019052011,0.9849840698094507,0.0
227,19881unibel,carib,0.017166686202978013,0.9828333137970047,0.0
228,20068gutbel,carib,0.013220513063914086,0.9867794869360249,0.0
229,20068gutbel,carib,0.013518629228295267,0.9864813707716842,0.0
230,20069gutbel,carib,0.01275889219234493,0.9872411078076209,0.0
231,20069gutbel,carib,0.013527843980639935,0.9864721560193392,0.0
232,20092unibel,carib,0.015718905274819537,0.9842810947251467,0.0
233,20092unibel,carib,0.017813044886283116,0.9821869551136787,0.0
234,20120unibel,carib,0.015333421072793963,0.9846665789271889,0.0
235,20120unibel,carib,0.015876393586076128,0.9841236064138852,0.0
236,20126unibel,carib,0.015578069502548919,0.9844219304974101,0.0
237,20126unibel,carib,0.0174990268056063,0.9825009731943487,0.0
238,20128unibel,carib,0.01667033742345139,0.9833296625765348,0.0
239,20128unibel,carib,0.0188089324536653,0.9811910675463017,0.0
240,20135unibel,carib,0.015420118897019202,0.9845798811029587,0.0
241,20135unibel,carib,0.016041278247782904,0.983958721752193,0.0
242,20149unibel,carib,0.016861218293366304,0.9831387817066316,0.0
243,20149unibel,carib,0.016872088088896283,0.9831279119110662,0.0
244,20418gumhon,carib,0.008509649909909314,0.9914903500900955,0.0
